GSM5527895	GSM5527896	GSM5527897	GSM5527898	GSM5527899	GSM5527900	GSM5527901	GSM5527902	GSM5527903	GSM5527904	GSM5527905	GSM5527906
cg22449583	0.730497961	0.739694272	0.747944917	0.679824625	0.700500802	0.756545626	0.754452964	0.770823874	0.746991514	0.716275907	0.696983326	0.726879858
cg26796793	0.94948418	0.95274986	0.948277586	0.921844809	0.942750024	0.944829468	0.948690209	0.950120871	0.959185029	0.944003305	0.929304407	0.928369688
cg17851021	0.847797794	0.823275523	0.848896289	0.77293872	0.83854112	0.854695778	0.811119948	0.845660638	0.895202283	0.818865464	0.785737141	0.794002914
cg01419713	0.694580063	0.744402527	0.59013065	0.823813095	0.781264775	0.781882731	0.765694883	0.782795289	0.771038654	0.791532491	0.706201406	0.819873778
cg05496363	0.72284824	0.735047982	0.718949652	0.680839525	0.752598129	0.7761285	0.725632741	0.769749102	0.771072893	0.715471599	0.713200437	0.702172951
cg26661738	0.84748886	0.82988748	0.772346594	0.818636109	0.838356785	0.824596065	0.848931992	0.837866381	0.816906059	0.746301386	0.765443988	0.822658041
cg25978218	0.205793566	0.247478643	0.277660037	0.3188594	0.210614744	0.202216913	0.28615735	0.185089305	0.237060351	0.293889312	0.335301728	0.274524338
cg04467549	0.8662799	0.886471574	0.886735329	0.872195624	0.858438005	0.905200924	0.878203698	0.872233392	0.895079863	0.905109944	0.865840137	0.863002976
cg14027234	0.670501324	0.668109772	0.665550709	0.599504649	0.655943377	0.660540993	0.639711506	0.685107679	0.683116286	0.641347637	0.622778044	0.615816689
cg22324641	0.864637053	0.844505009	0.806744546	0.864513604	0.847824514	0.88361231	0.800661366	0.858841238	0.866787162	0.810059218	0.817647006	0.87789329
cg17717565	0.810443903	0.795545036	0.838004756	0.827027968	0.850925467	0.788962714	0.767889015	0.823234613	0.779204393	0.824817776	0.814408559	0.733240853
cg11778706	0.927015931	0.913266031	0.904027684	0.906307994	0.913547425	0.926589636	0.917171073	0.934503031	0.919142554	0.902003286	0.898378541	0.915852241
cg08486432	0.858036068	0.843281134	0.791875532	0.82525593	0.796925903	0.837843023	0.786162962	0.840279052	0.851717887	0.808948452	0.79896438	0.80595915
cg08012294	0.844734446	0.87191557	0.770806896	0.872081089	0.879449954	0.863367204	0.836006675	0.852949534	0.851217513	0.8697572	0.83907399	0.900093934
cg10165241	0.83185927	0.823961862	0.85362194	0.845117768	0.715721728	0.832509548	0.887933369	0.758726997	0.843806248	0.859769559	0.828720735	0.839213967
cg14656948	0.664725514	0.705359157	0.703025815	0.631558518	0.702624483	0.726627001	0.6988464	0.655751572	0.678829699	0.727198652	0.658460125	0.702326556
cg10934870	0.848124889	0.83027067	0.815451596	0.83889946	0.834903632	0.798231982	0.84860216	0.783137654	0.821425401	0.819367029	0.811198153	0.777135664
cg03077364	0.872651778	0.858541228	0.858598556	0.802362033	0.823942195	0.848355961	0.853686396	0.877181341	0.865514057	0.840838007	0.832721176	0.829138334
cg06768361	0.635987638	0.729024953	0.695483897	0.78248426	0.745731743	0.7404562	0.83662455	0.760371103	0.743334669	0.813003392	0.868361123	0.811526472
cg02442623	0.221370428	0.254669048	0.287047948	0.263339343	0.230719097	0.224312976	0.292696347	0.246469361	0.240783173	0.281283701	0.3105734	0.251902463
cg03637218	0.859609767	0.847741106	0.846380944	0.843655735	0.833476611	0.804828232	0.836896325	0.818989184	0.824643525	0.868119424	0.83738645	0.808517153
cg23950233	0.104804878	0.101112225	0.146223978	0.136866325	0.132586314	0.106780489	0.133260573	0.137513786	0.132023976	0.144547006	0.135220506	0.113064765
cg23883802	0.663016911	0.674099166	0.652051994	0.670578665	0.665177733	0.673090749	0.674191341	0.704764985	0.67873001	0.6872132	0.672595322	0.632714606
cg18152211	0.803206904	0.821905087	0.750012489	0.793159845	0.797762392	0.798222617	0.786911669	0.843634914	0.823469058	0.732999875	0.800719209	0.803314184
cg13022312	0.252663576	0.261739197	0.350374566	0.189367517	0.212494604	0.199604376	0.241881213	0.219866402	0.230784038	0.222237863	0.246796706	0.160917057
cg13585320	0.69670499	0.625402731	0.546301866	0.748630037	0.620777088	0.732070688	0.666912227	0.655117218	0.645282384	0.693578504	0.644325462	0.73820397
cg01070424	0.341974703	0.392297656	0.351746505	0.337048523	0.404523802	0.39836778	0.448312688	0.430521705	0.399471292	0.394488922	0.41776698	0.400427593
cg07616471	0.740570703	0.739945839	0.601925219	0.784165272	0.756785404	0.783133847	0.781869508	0.782137027	0.764477738	0.755947825	0.682172746	0.772820334
cg14055887	0.684244419	0.678197887	0.63093648	0.740905375	0.740762354	0.750881893	0.726009427	0.736437257	0.716757481	0.695041812	0.679966544	0.71526469
cg27111050	0.169153204	0.203656921	0.156266169	0.276571878	0.343994597	0.191628397	0.228074969	0.144048154	0.158764866	0.262855555	0.296859332	0.290991245
cg14297410	0.15691093	0.227177179	0.228023978	0.313110608	0.218096041	0.179839179	0.237819853	0.154765412	0.158255601	0.24402389	0.248517406	0.243866543
cg08585614	0.792218815	0.780063949	0.805369928	0.784062515	0.759835676	0.791764288	0.77849208	0.814190771	0.797630765	0.773758039	0.7682367	0.797917611
cg06114546	0.807537405	0.792516226	0.805108028	0.733013379	0.789946099	0.795757873	0.753038751	0.828827157	0.833898552	0.766986151	0.763911437	0.750912199
cg12743031	0.328382038	0.333450611	0.26626497	0.365272918	0.339975807	0.400409435	0.371175548	0.413483279	0.387884115	0.338860725	0.32818429	0.364128366
cg13487687	0.82364377	0.852686803	0.826153902	0.799161962	0.824493754	0.838568859	0.83166709	0.834654212	0.849577686	0.827127253	0.815370703	0.799570998
cg21767619	0.24028419	0.260691114	0.142282069	0.214836271	0.202854395	0.375526389	0.364504221	0.353781034	0.334512338	0.330068793	0.251639686	0.435171236
cg15408905	0.387961936	0.426902993	0.323418371	0.405436584	0.416443102	0.45853959	0.392326244	0.453273721	0.41582032	0.442961549	0.407457726	0.397493326
cg14133557	0.788420666	0.697677336	0.743220723	0.76598616	0.680461768	0.718928973	0.739081466	0.628759868	0.758409006	0.763458408	0.738888308	0.754419024
cg16036025	0.143845717	0.152433261	0.145786904	0.113766826	0.125624677	0.083574792	0.116604756	0.112952571	0.101005315	0.136624176	0.147420207	0.126798297
cg20029347	0.221970188	0.206836714	0.267526033	0.201044311	0.223910958	0.158217757	0.226186911	0.177445871	0.198358754	0.206491569	0.270075846	0.193189075
cg07619820	0.862740478	0.861276464	0.854755218	0.857504806	0.830809678	0.82302716	0.842767651	0.834328785	0.824857115	0.853125719	0.845060729	0.81652539
cg10168351	0.867795786	0.898063334	0.870265178	0.893805088	0.883137882	0.886335689	0.874908661	0.891347104	0.879193406	0.891763686	0.870549783	0.871959595
cg07721852	0.236532328	0.224125981	0.249652501	0.134519426	0.30706359	0.163060041	0.156914604	0.215423196	0.364840721	0.188841438	0.219197045	0.235606376
cg20652042	0.745736572	0.760721674	0.737662463	0.768652277	0.736120176	0.775201962	0.747044967	0.751439663	0.755543442	0.74420736	0.729667841	0.747612992
cg07949587	0.935328646	0.9194798	0.920344765	0.896456521	0.923200183	0.920064263	0.910339742	0.921159731	0.925229153	0.905924064	0.908146283	0.906816365
cg02586212	0.120307335	0.157939766	0.110060112	0.149118121	0.127662122	0.193186001	0.206583961	0.246308114	0.220812551	0.240156786	0.193301558	0.184060424
cg18550847	0.813805981	0.792188271	0.841814425	0.817261445	0.840785925	0.778440394	0.797609985	0.805984737	0.796352659	0.831184475	0.805050142	0.72418862
cg00510903	0.760811011	0.807707929	0.757509913	0.820876043	0.676585371	0.801033507	0.84324175	0.714046851	0.825002421	0.857134143	0.809396253	0.84471383
cg27551910	0.236412073	0.270691349	0.20507451	0.261080685	0.32339787	0.327378088	0.301732096	0.376966011	0.352269553	0.29679617	0.321477935	0.259731399
cg04741118	0.33264778	0.315450338	0.282082638	0.433058208	0.355101149	0.403284022	0.396426672	0.440837409	0.384250717	0.291242884	0.454205651	0.393187583
cg21710377	0.243357666	0.23214996	0.142421256	0.273776584	0.190120923	0.255935031	0.214847555	0.240292291	0.260552375	0.222914412	0.198616066	0.262665928
cg04423493	0.134133686	0.188579196	0.242512354	0.12376241	0.142128208	0.192192825	0.150305532	0.100373151	0.151829317	0.157998037	0.162037016	0.11888058
cg08055860	0.813006644	0.823515988	0.812069555	0.746408763	0.860536114	0.791324083	0.797251341	0.847808429	0.790063319	0.811267233	0.752158118	0.72864807
cg03331259	0.148684314	0.162656505	0.111829509	0.227813775	0.174164532	0.152129284	0.173599388	0.135326447	0.10815937	0.161144906	0.206189	0.172742954
cg24557547	0.744705659	0.712079258	0.68759894	0.709594218	0.640792972	0.694174383	0.700531822	0.730934669	0.705950061	0.724974104	0.726893584	0.673079163
cg08708167	0.085973027	0.070238622	0.055253607	0.157278646	0.059900245	0.071629023	0.053040476	0.068649736	0.094352241	0.074959454	0.113300959	0.072483514
cg09242530	0.844772646	0.892268291	0.87553552	0.856185564	0.917667353	0.873107035	0.884765521	0.886151615	0.878127258	0.895488218	0.855942043	0.8845931
cg25559081	0.894292038	0.883703059	0.841119835	0.894473935	0.910793308	0.912893868	0.899950367	0.902917169	0.896321503	0.90569582	0.862052441	0.91517087
cg06187522	0.846954156	0.830153102	0.799956688	0.838276067	0.808798393	0.864535118	0.854612097	0.835958341	0.862774273	0.830805041	0.786276222	0.827129356
cg00819880	0.638796244	0.649331204	0.647582786	0.66588255	0.662041639	0.654654278	0.640559207	0.676495297	0.676710536	0.62382801	0.655745642	0.626987669
cg00108812	0.712456976	0.731987347	0.738357662	0.697574717	0.676954998	0.641407202	0.716913061	0.705415369	0.713189409	0.755928432	0.730978305	0.686003658
cg26755038	0.200704524	0.258110134	0.255510984	0.25817365	0.230011489	0.212857352	0.227724231	0.20598825	0.247919114	0.258910287	0.290044597	0.259842736
cg01054652	0.702041053	0.725219787	0.655705142	0.710921643	0.66957699	0.655074332	0.679769757	0.67135668	0.640520254	0.680370662	0.688972544	0.631213594
cg12392667	0.085874204	0.121592127	0.082266654	0.170907512	0.124244563	0.096633699	0.135510016	0.093703775	0.07563686	0.123883207	0.151034082	0.132658678
cg00460916	0.802162189	0.819326446	0.752188148	0.810830077	0.804182432	0.849522786	0.833056184	0.841638671	0.835632897	0.822822862	0.769599345	0.846985862
cg05501357	0.73691606	0.703202035	0.762340242	0.759813599	0.749464006	0.71867449	0.742456174	0.66423607	0.706476035	0.750137014	0.723128286	0.695833042
cg14375890	0.106000119	0.14506043	0.105387574	0.146409486	0.258434635	0.242448897	0.232238176	0.295733569	0.235721483	0.213284735	0.179799972	0.228265159
cg03037030	0.140084158	0.095499597	0.09294871	0.127756836	0.163682312	0.124634117	0.160278561	0.118046123	0.104533495	0.105964111	0.069798507	0.159860328
cg07728865	0.765355227	0.747407433	0.629180713	0.734023095	0.781031988	0.803140573	0.778944266	0.789688024	0.769986537	0.688109264	0.714902881	0.732201427
cg16070350	0.750322226	0.741961149	0.738611524	0.743130995	0.799309791	0.766123866	0.735339132	0.8059484	0.780816941	0.762706894	0.742396986	0.738389203
cg12369481	0.762830267	0.750076728	0.732321893	0.717491417	0.743542409	0.802972674	0.744679651	0.804320678	0.834977493	0.747709429	0.700721364	0.770594186
cg06502391	0.204040517	0.21102693	0.22781746	0.25050959	0.229173761	0.200199378	0.252402114	0.203036943	0.208715075	0.25046267	0.273980791	0.275907068
cg11759703	0.326562512	0.356916204	0.248953141	0.408521894	0.341691705	0.465793853	0.426330685	0.432567403	0.462588235	0.426317596	0.384829263	0.501560419
cg24515352	0.280242	0.303300803	0.206218321	0.35167271	0.296618454	0.300136958	0.241185616	0.278155814	0.327188205	0.261190002	0.31243522	0.313550952
cg19861222	0.77819652	0.812899568	0.743948904	0.827588923	0.799481982	0.824813058	0.801753341	0.811570843	0.804355623	0.83360312	0.762990475	0.797589021
cg13757832	0.843669501	0.811863814	0.805749677	0.817252072	0.758056307	0.770946665	0.825454375	0.760679466	0.782743791	0.848851166	0.787212634	0.817477665
cg06721435	0.77418055	0.737925187	0.75504966	0.749561503	0.691909413	0.734662952	0.714128556	0.722718422	0.694134059	0.708942259	0.723682038	0.726362998
cg07854989	0.769438919	0.81287697	0.81062136	0.75819067	0.822585253	0.785408561	0.817552329	0.866006802	0.775487256	0.83407559	0.819285755	0.810731127
cg03097275	0.115806	0.088072954	0.068079227	0.106507902	0.05865874	0.14421641	0.066305952	0.064384435	0.097364916	0.093575269	0.069769533	0.10061888
cg04369622	0.831695835	0.779331919	0.817711528	0.821118974	0.818599125	0.772804963	0.773784562	0.793266156	0.760247475	0.804175736	0.781551924	0.706705131
cg03421440	0.775269318	0.775981443	0.69007728	0.798239171	0.729631552	0.795335145	0.784580406	0.748427139	0.775420803	0.795180318	0.672701679	0.834051228
cg17413540	0.761321234	0.753829214	0.706032855	0.724364037	0.753960167	0.776667596	0.708827619	0.803143681	0.797339611	0.710532638	0.680636057	0.739798858
cg16919680	0.380877688	0.352677752	0.261859918	0.402066975	0.306206792	0.391135178	0.366463342	0.370184692	0.491979417	0.365211037	0.362501266	0.366933669
cg25327212	0.709972681	0.771350559	0.725532043	0.655403505	0.787490055	0.705566415	0.767109563	0.763853795	0.698860329	0.797664228	0.709946206	0.689049227
cg10043448	0.330917858	0.361274467	0.414985542	0.363954959	0.351512437	0.421944898	0.398159523	0.456936167	0.384284199	0.467989728	0.425422578	0.434157259
cg02690807	0.933340618	0.909154711	0.917598186	0.921188279	0.918091918	0.929238441	0.929450874	0.918275114	0.91710341	0.905854708	0.902302967	0.917926776
cg14733053	0.300116035	0.296081233	0.321045266	0.232581993	0.367732322	0.269696751	0.261426909	0.325519884	0.262004917	0.280650472	0.316411422	0.23575045
cg13132267	0.86201534	0.876520888	0.849066201	0.790216195	0.896902187	0.857383549	0.882349335	0.891079345	0.851815705	0.868274544	0.842444714	0.870177202
cg03601752	0.069219142	0.105503177	0.129925333	0.111701382	0.127323316	0.089468152	0.114972662	0.083330692	0.08015819	0.122765934	0.122744295	0.098774382
cg22897715	0.094883542	0.135530032	0.105431824	0.129556082	0.225698151	0.135148389	0.099210887	0.179235132	0.109994186	0.103858033	0.148799357	0.10990038
cg03340102	0.422169883	0.41281737	0.375970928	0.397333791	0.402342158	0.41412041	0.369506381	0.402267986	0.410626862	0.379525602	0.398072927	0.414493702
cg00362818	0.743786355	0.732484701	0.677246972	0.798633613	0.695740159	0.781854878	0.745765122	0.742116914	0.769100688	0.763799306	0.710380641	0.811270551
cg02153245	0.731846073	0.718729655	0.694652614	0.786436401	0.769857915	0.773380643	0.726109567	0.762872469	0.734731465	0.686508211	0.712458027	0.768969809
cg03478159	0.879600284	0.886175467	0.853034116	0.867770529	0.867481164	0.867277408	0.831811872	0.860247029	0.884156286	0.831837626	0.877941866	0.864506592
cg22053687	0.865328021	0.845851332	0.817399461	0.876446135	0.879163309	0.858208651	0.871472647	0.850829193	0.843520187	0.870962722	0.826110823	0.879095671
cg00908794	0.875076918	0.903542209	0.879086348	0.895683023	0.884574706	0.893442547	0.879686325	0.869323142	0.875730488	0.878044812	0.873444072	0.867932467
cg01923724	0.888058567	0.831969466	0.855615178	0.898309422	0.774519686	0.78121912	0.845651768	0.804932909	0.834860485	0.831650751	0.87017455	0.813577837
cg03083290	0.213845338	0.246529824	0.17638612	0.212086061	0.227780502	0.346151738	0.31461936	0.331759554	0.331992763	0.250216898	0.271776961	0.345040807
cg05770620	0.807111672	0.764765296	0.676867592	0.859155167	0.821875728	0.847858551	0.786924165	0.854960214	0.785772881	0.809416494	0.777734326	0.861644301
cg02895591	0.315515785	0.285908609	0.240347068	0.392822142	0.24673359	0.31372523	0.274955571	0.291720167	0.346555773	0.274367029	0.321150971	0.328208068
cg21889405	0.250213235	0.272481204	0.228087511	0.275313004	0.283314345	0.226435689	0.235763286	0.225546328	0.200079082	0.241168035	0.290248481	0.287456921
cg27469152	0.748255938	0.723100109	0.780825097	0.77532023	0.791421275	0.744553089	0.713520539	0.738316931	0.732719206	0.746444395	0.748221463	0.726878051
cg18948661	0.874652398	0.880165726	0.861685982	0.873692398	0.817891622	0.853812307	0.885317623	0.848682283	0.862294978	0.893590322	0.860444348	0.860665549
cg00863309	0.850559338	0.832984863	0.831175175	0.781155795	0.828763052	0.808078949	0.823341644	0.826790903	0.833960881	0.854264619	0.782725483	0.831776032
cg10638769	0.710357289	0.702901987	0.648040382	0.716328779	0.638535106	0.681562469	0.706894902	0.644436585	0.680823323	0.694733438	0.691636081	0.700219948
cg09607102	0.776733163	0.755934887	0.72984762	0.780247695	0.762682266	0.777829593	0.766464804	0.783503729	0.753397979	0.744786152	0.756935982	0.765921642
cg11112605	0.791394269	0.762490989	0.787341755	0.798500976	0.773832925	0.751917963	0.753089777	0.767020403	0.760221325	0.797659253	0.765926423	0.707452934
cg08639757	0.35136365	0.336107141	0.291662799	0.316220891	0.310680879	0.398693995	0.384410217	0.39921112	0.345324769	0.363525721	0.376227675	0.379878463
cg17062760	0.785449827	0.768472683	0.805193903	0.811189018	0.811794133	0.77072121	0.766270369	0.774689408	0.76551884	0.80123224	0.767854318	0.738302495
cg04073934	0.860462961	0.833632324	0.798243752	0.827293122	0.854772935	0.842084719	0.84612334	0.82829216	0.823554547	0.820148438	0.827341573	0.822933054
cg07431832	0.895211555	0.866093483	0.879932195	0.87306917	0.87232655	0.799608993	0.836500651	0.81257998	0.797710255	0.854483739	0.859883472	0.835192094
cg03016258	0.804125039	0.7986726	0.792486971	0.839381691	0.861260378	0.81067033	0.834352463	0.865370888	0.844921686	0.861361686	0.834857297	0.840348978
cg13613174	0.688654592	0.708363331	0.62186745	0.759873819	0.585726245	0.750314143	0.737907576	0.713766014	0.715578664	0.757674886	0.658625245	0.773945243
cg06805366	0.889904576	0.890716028	0.88448379	0.85351398	0.877541142	0.87795209	0.860823916	0.893474969	0.893318066	0.857628453	0.884856755	0.846221501
cg16008150	0.841945341	0.805462726	0.703540655	0.834917828	0.831664161	0.838508344	0.857102058	0.792206012	0.824750511	0.84444621	0.78838848	0.871592793
cg04348305	0.898562159	0.899909699	0.899912759	0.881447872	0.906497637	0.90300963	0.878128721	0.907618255	0.912230945	0.896844132	0.89195307	0.866387924
cg24309788	0.878748803	0.870169788	0.861686589	0.894043025	0.897699446	0.888650066	0.895089883	0.87834714	0.882857761	0.902257037	0.901930753	0.904947962
cg27400424	0.83748594	0.823695025	0.842696151	0.861002915	0.864388297	0.821141181	0.834979754	0.852430741	0.821882057	0.849324347	0.834402708	0.798530283
cg02342895	0.817213694	0.788884469	0.840850547	0.82305827	0.772235948	0.752985664	0.73825027	0.716358127	0.756980444	0.745663846	0.810768626	0.761617348
cg17248730	0.15919933	0.140061894	0.146187636	0.183226373	0.146251623	0.146224792	0.153411228	0.163602593	0.173797166	0.186953569	0.139112093	0.125541482
cg24920933	0.842983969	0.867196857	0.852067987	0.829940148	0.868220242	0.857772099	0.828046122	0.882935734	0.853031052	0.849156335	0.849756952	0.872532275
cg10650821	0.148440811	0.183930108	0.112581835	0.229511886	0.20682854	0.190101042	0.192564437	0.155723867	0.170786974	0.193283765	0.190936271	0.213561714
cg08771076	0.701190007	0.71114075	0.616327291	0.812728912	0.749891662	0.765226926	0.770740204	0.78264171	0.751985809	0.730935362	0.695591416	0.774002145
cg22962965	0.359420127	0.333928681	0.38783662	0.536661242	0.466351964	0.412825822	0.431516858	0.368451392	0.268531879	0.425886517	0.45022227	0.510229238
cg04054221	0.724415358	0.736576773	0.746751094	0.715063291	0.714845602	0.714146516	0.664399288	0.68081468	0.723820433	0.725100549	0.70925183	0.69619235
cg14227558	0.065745312	0.087584218	0.127263443	0.074427419	0.072363301	0.082669109	0.083113469	0.065198039	0.095618759	0.106278186	0.113128585	0.06711569
cg20066792	0.308043132	0.332357752	0.293985217	0.406183381	0.299758692	0.315060233	0.369348649	0.365733044	0.351220524	0.350348838	0.370267733	0.347302937
cg23390360	0.886482096	0.836472299	0.875946181	0.874802714	0.868984391	0.8031474	0.844544001	0.813165679	0.808900782	0.835225461	0.858823483	0.83364456
cg11133963	0.862369997	0.828553781	0.874639343	0.861027963	0.757772795	0.838231818	0.871085403	0.764532889	0.872164874	0.843819304	0.838069362	0.856494813
cg00683371	0.699403947	0.743646653	0.630992174	0.760398388	0.826950428	0.677218627	0.715755874	0.778535546	0.750255418	0.739198835	0.753400618	0.745018539
cg11473412	0.818246744	0.804338323	0.831968652	0.687877185	0.841640474	0.782630114	0.837256411	0.830967973	0.77303469	0.801291312	0.753760085	0.798065652
cg09401696	0.826682782	0.78456065	0.730904445	0.828717383	0.766581773	0.838558636	0.855537604	0.797114777	0.83837139	0.81981513	0.840423253	0.822834727
cg21822146	0.780249896	0.782627213	0.769273121	0.729657669	0.842316728	0.784900783	0.842341061	0.841425458	0.767436878	0.815800939	0.769864362	0.782934167
cg23045908	0.194846725	0.161111423	0.16180799	0.138168325	0.226601175	0.137078462	0.110453111	0.149974728	0.145665331	0.112119144	0.103511752	0.113916954
cg23990557	0.792055425	0.769242403	0.832780659	0.790023749	0.826354591	0.729548455	0.729349751	0.732974049	0.739411495	0.770665156	0.772014338	0.702123229
cg11341610	0.185190434	0.210818021	0.177846792	0.322468807	0.251067005	0.221478839	0.189483065	0.237168882	0.216889262	0.212749068	0.252727458	0.243690015
cg08657911	0.851691917	0.853398776	0.816950654	0.854456557	0.869458703	0.887213785	0.870135553	0.88135548	0.867786481	0.859277699	0.837576777	0.853915298
cg12286428	0.644693701	0.630623301	0.565316908	0.687148957	0.663796717	0.712696408	0.668068609	0.684576686	0.693610347	0.671027539	0.60917787	0.684320576
cg13647520	0.154074007	0.188545391	0.13326235	0.238220687	0.129731716	0.138887455	0.182139376	0.130667718	0.164254422	0.161430844	0.193587026	0.208520608
cg25600606	0.922144136	0.889320667	0.91662395	0.915795207	0.915497371	0.843898608	0.885641982	0.843948425	0.858228615	0.900737643	0.906436789	0.880629167
cg18327204	0.862605708	0.874054995	0.849695025	0.880402497	0.88121127	0.887521053	0.870678485	0.890640666	0.889016084	0.889693229	0.852621912	0.880747097
cg18585849	0.779902475	0.80210755	0.697763474	0.83846462	0.816022912	0.8107128	0.79661261	0.788096635	0.811262909	0.79957111	0.796502249	0.798563344
cg16386158	0.836044171	0.815592916	0.821981368	0.839176813	0.843387547	0.832452958	0.848560643	0.827258692	0.852746252	0.869912602	0.83367101	0.790442482
cg06202778	0.848576956	0.804665737	0.775874116	0.832443302	0.744380745	0.823546534	0.847363244	0.739416831	0.823473928	0.839079263	0.768995556	0.843663268
cg08847738	0.903430159	0.899487976	0.894068669	0.85416869	0.901579838	0.897623856	0.889760854	0.904201691	0.904025787	0.884525839	0.87950804	0.864254097
cg21015019	0.690812493	0.735287429	0.684125657	0.780657594	0.794926813	0.730350234	0.76185344	0.771644571	0.787309192	0.778115297	0.796743119	0.75017686
cg00504885	0.774197968	0.812865403	0.752510312	0.803228535	0.798848245	0.759863476	0.778733262	0.850052496	0.812802336	0.834959663	0.831500154	0.755651508
cg27276522	0.863315747	0.839475303	0.849836416	0.846835981	0.859776403	0.882392219	0.888872017	0.880534592	0.890290532	0.856077721	0.850899091	0.851151212
cg03243485	0.162363614	0.183788411	0.216880919	0.123740815	0.157716772	0.164836229	0.146361028	0.152525896	0.168629269	0.172551542	0.169233445	0.113719622
cg14426596	0.378885894	0.38893575	0.311909854	0.406289491	0.431648491	0.42250287	0.420224307	0.468227698	0.435077123	0.404680016	0.421776627	0.460293131
cg06125671	0.625566217	0.660454197	0.5555787	0.640234697	0.631053165	0.564594349	0.539747305	0.604920104	0.599201749	0.665706023	0.658217454	0.526239182
cg16099687	0.180239135	0.17116586	0.169876793	0.220636542	0.114500089	0.216365545	0.16346475	0.147033649	0.143781177	0.155561711	0.216459804	0.167240396
cg16669099	0.703662251	0.679032383	0.640729503	0.642063825	0.730643929	0.723429674	0.704841513	0.723903773	0.712881448	0.697826688	0.717723875	0.693430154
cg16694480	0.597246958	0.566966904	0.603547448	0.474412714	0.570788889	0.599498867	0.559311221	0.588599127	0.590104137	0.564785902	0.603532327	0.56444539
cg06117093	0.322613145	0.325340881	0.270699468	0.310563728	0.378486685	0.302375789	0.250454489	0.367730954	0.284448115	0.252296674	0.249106537	0.247615111
cg14772800	0.243018891	0.234009415	0.28357285	0.235257471	0.237595416	0.205213309	0.251992118	0.220916672	0.212000274	0.244632928	0.282558557	0.208284597
cg27177308	0.817198368	0.807399463	0.775575798	0.716591522	0.831386756	0.790741912	0.796627534	0.798467154	0.786121921	0.789086834	0.773260721	0.765010595
